Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,18.90,19.200001,18.90,19.17,3400,19.17
2015-12-31,19.49,19.74,19.49,19.50,3900,19.50
2015-12-30,19.50,19.50,19.40,19.450001,10300,19.450001
2015-12-29,19.65,19.68,19.639999,19.68,25800,19.68
2015-12-28,19.74,19.74,19.74,19.74,000,19.74
2015-12-24,19.799999,19.799999,19.74,19.74,600,19.74
2015-12-23,19.84,19.85,19.82,19.82,2300,19.82
2015-12-22,19.530001,19.68,19.50,19.610001,39200,19.610001
2015-12-21,19.25,19.530001,19.25,19.469999,1900,19.469999
2015-12-18,19.66,19.66,19.360001,19.540001,5300,19.540001
2015-12-17,19.389999,19.65,19.360001,19.65,1500,19.65
2015-12-16,19.40,19.75,19.40,19.75,9900,19.75
2015-12-15,19.17,19.35,19.17,19.299999,37500,19.299999
2015-12-14,18.790001,19.00,18.790001,19.00,700,19.00
2015-12-11,19.16,19.16,18.52,18.65,5100,18.65
2015-12-10,19.549999,19.549999,19.25,19.280001,2200,19.280001
2015-12-09,19.58,19.629999,19.58,19.629999,27500,19.629999
2015-12-08,19.209999,19.33,19.209999,19.280001,5500,19.280001
2015-12-07,19.60,19.60,19.450001,19.530001,5000,19.530001
2015-12-04,19.35,19.709999,19.35,19.65,3100,19.65
2015-12-03,20.00,20.00,19.450001,19.450001,10600,19.450001
2015-12-02,19.889999,19.889999,19.65,19.65,2800,19.65
2015-12-01,19.809999,20.120001,19.809999,20.08,2000,20.08
2015-11-30,19.969999,20.15,19.969999,20.15,12700,20.15
2015-11-27,19.950001,19.950001,19.790001,19.790001,2300,19.790001
2015-11-25,20.290001,20.290001,20.26,20.26,5600,20.26
2015-11-24,20.16,20.26,20.00,20.26,10400,20.26
2015-11-23,20.25,20.26,20.200001,20.200001,31100,20.200001
2015-11-20,19.98,20.23,19.85,20.219999,40300,20.219999
2015-11-19,19.549999,19.85,19.549999,19.85,26400,19.85
2015-11-18,19.65,19.75,19.309999,19.75,10500,19.75
2015-11-17,19.540001,19.719999,19.540001,19.719999,8500,19.719999
2015-11-16,19.32,19.65,19.25,19.65,11700,19.65
2015-11-13,19.620001,19.620001,19.35,19.35,20400,19.35
2015-11-12,19.559999,19.860001,19.559999,19.75,6100,19.75
2015-11-11,19.700001,19.700001,19.459999,19.459999,6700,19.459999
2015-11-10,19.41,19.700001,19.41,19.66,9000,19.66
2015-11-09,19.93,19.93,19.290001,19.35,15000,19.35
2015-11-06,19.549999,19.870001,19.549999,19.870001,10700,19.870001
2015-11-05,19.700001,19.799999,19.50,19.530001,5500,19.530001
2015-11-04,19.700001,19.700001,19.65,19.65,3200,19.65
2015-11-03,19.299999,19.639999,19.25,19.60,11800,19.60
2015-11-02,19.15,19.209999,19.00,19.209999,2000,19.209999
2015-10-30,19.00,19.15,18.799999,19.00,98500,19.00
2015-10-29,19.049999,19.25,18.959999,19.10,10500,19.10
2015-10-28,19.00,19.440001,19.00,19.440001,7000,19.440001
2015-10-27,19.280001,19.280001,19.209999,19.209999,1800,19.209999
2015-10-26,19.26,19.389999,19.26,19.299999,1300,19.299999
2015-10-23,19.559999,19.75,19.559999,19.75,28300,19.75
2015-10-22,19.110001,19.32,19.110001,19.200001,1300,19.200001
2015-10-21,19.26,19.309999,19.120001,19.120001,40000,19.120001
2015-10-20,18.67,19.299999,18.67,19.25,22300,19.25
2015-10-19,19.16,19.16,18.77,18.77,2000,18.77
2015-10-16,19.00,19.08,19.00,19.08,10200,19.08
2015-10-15,18.639999,18.98,18.60,18.98,7500,18.98
2015-10-14,18.40,18.40,18.40,18.40,4900,18.40
2015-10-13,18.51,18.51,18.450001,18.450001,21500,18.450001
2015-10-12,18.50,18.540001,18.50,18.540001,6000,18.540001
2015-10-09,18.700001,18.700001,18.639999,18.639999,21300,18.639999
2015-10-08,18.450001,18.75,18.360001,18.75,22100,18.75
2015-10-07,18.190001,18.450001,18.190001,18.450001,7600,18.450001
2015-10-06,17.85,17.85,17.85,17.85,1000,17.85
2015-10-05,18.00,18.309999,18.00,18.209999,43900,18.209999
2015-10-02,17.299999,17.809999,17.299999,17.709999,16800,17.709999
2015-10-01,17.049999,17.25,17.049999,17.25,17700,17.25
2015-09-30,16.799999,16.799999,16.73,16.73,1300,16.73
2015-09-29,16.40,16.629999,16.40,16.629999,34700,16.629999
2015-09-28,16.52,16.52,16.41,16.41,4600,16.41
2015-09-25,16.780001,17.190001,16.780001,17.120001,800,17.120001
2015-09-24,16.50,16.799999,16.50,16.799999,24000,16.799999
2015-09-23,16.66,16.66,16.66,16.66,240200,16.66
2015-09-22,16.84,16.84,16.469999,16.780001,800,16.780001
2015-09-21,17.25,17.26,17.110001,17.17,4700,17.17
2015-09-18,17.440001,17.440001,17.25,17.26,1100,17.26
2015-09-17,17.43,17.60,17.35,17.51,22800,17.51
2015-09-16,17.379999,17.879999,17.379999,17.700001,4900,17.700001
2015-09-15,16.639999,17.030001,16.639999,17.030001,6300,17.030001
2015-09-14,16.190001,16.50,16.190001,16.25,2500,16.25
2015-09-11,16.60,16.60,16.32,16.34,7400,16.34
2015-09-10,16.690001,16.75,16.690001,16.75,6400,16.75
2015-09-09,17.049999,17.049999,17.00,17.01,3000,17.01
2015-09-08,16.77,16.950001,16.77,16.77,2400,16.77
2015-09-04,16.030001,16.280001,16.030001,16.280001,14000,16.280001
2015-09-03,16.68,16.76,16.639999,16.66,3300,16.66
2015-09-02,16.35,16.35,16.299999,16.35,2500,16.35
2015-09-01,16.629999,16.629999,16.15,16.35,2200,16.35
2015-08-31,16.629999,17.00,16.58,17.00,2800,17.00
2015-08-28,17.049999,17.049999,17.00,17.00,1000,17.00
2015-08-27,17.10,17.52,17.10,17.459999,3700,17.459999
2015-08-26,17.040001,17.059999,16.32,16.84,40100,16.84
2015-08-25,17.540001,17.709999,17.15,17.200001,31300,17.200001
2015-08-24,14.86,16.17,14.71,15.39,43300,15.39
2015-08-21,17.18,17.18,16.57,16.57,19800,16.57
2015-08-20,17.65,17.65,17.18,17.18,11700,17.18
2015-08-19,18.10,18.10,17.73,17.73,23800,17.73
2015-08-18,18.209999,18.209999,17.90,18.059999,2400,18.059999
2015-08-17,18.42,18.459999,18.200001,18.459999,1800,18.459999
2015-08-14,18.709999,18.709999,18.49,18.549999,11300,18.549999
2015-08-13,18.360001,18.65,18.32,18.629999,38700,18.629999
2015-08-12,17.639999,17.639999,17.00,17.25,58800,17.25
2015-08-11,18.190001,18.209999,17.950001,17.950001,3300,17.950001
2015-08-10,18.18,18.620001,18.18,18.620001,26600,18.620001
2015-08-07,18.190001,18.219999,18.16,18.209999,8500,18.209999
2015-08-06,18.41,18.41,18.00,18.059999,18300,18.059999
2015-08-05,18.25,18.690001,18.25,18.40,2800,18.40
2015-08-04,18.299999,18.68,18.25,18.68,2600,18.68
2015-08-03,18.40,18.40,18.26,18.26,4300,18.26
2015-07-31,18.389999,18.860001,18.389999,18.60,2000,18.60
2015-07-30,18.40,18.559999,18.26,18.559999,5100,18.559999
2015-07-29,18.85,18.85,18.50,18.690001,3000,18.690001
2015-07-28,18.700001,18.90,18.700001,18.85,11600,18.85
2015-07-27,18.389999,18.709999,18.389999,18.50,11600,18.50
2015-07-24,19.450001,19.450001,19.219999,19.309999,30200,19.309999
2015-07-23,19.91,19.91,19.65,19.65,34600,19.65
2015-07-22,20.00,20.00,19.74,19.959999,6500,19.959999
2015-07-21,20.290001,20.290001,20.02,20.02,3400,20.02
2015-07-20,19.99,20.34,19.99,20.219999,55300,20.219999
2015-07-17,19.469999,20.00,19.469999,19.700001,2800,19.700001
2015-07-16,19.24,19.450001,19.030001,19.450001,1200,19.450001
2015-07-15,19.450001,19.450001,19.25,19.25,3700,19.25
2015-07-14,19.52,19.74,19.52,19.74,4600,19.74
2015-07-13,19.799999,19.799999,19.049999,19.51,3200,19.51
2015-07-10,19.00,19.58,18.85,19.200001,9400,19.200001
2015-07-09,18.76,18.870001,18.57,18.57,224900,18.57
2015-07-08,17.799999,17.799999,16.92,17.34,135400,17.34
2015-07-07,18.33,18.34,17.959999,18.25,33500,18.25
2015-07-06,18.33,19.33,18.33,18.98,9900,18.98
2015-07-02,19.790001,20.43,19.75,19.799999,5600,19.799999
2015-07-01,20.00,20.00,19.90,19.90,64900,19.90
2015-06-30,19.59,20.23,19.540001,20.00,38900,20.00
2015-06-29,19.68,19.870001,19.48,19.48,12900,19.48
2015-06-26,20.540001,20.889999,20.209999,20.889999,900,20.889999
2015-06-25,21.24,21.24,20.50,20.540001,2000,20.540001
2015-06-24,20.690001,21.370001,20.690001,21.290001,4600,21.290001
2015-06-23,20.200001,20.50,20.200001,20.50,4400,20.50
2015-06-22,19.959999,20.32,19.959999,20.32,9100,20.32
2015-06-19,19.83,20.07,19.83,19.93,8700,19.93
2015-06-18,19.950001,19.950001,19.950001,19.950001,35400,19.950001
2015-06-17,20.09,20.09,19.82,19.83,9300,19.83
2015-06-16,20.08,20.08,20.08,20.08,16600,20.08
2015-06-15,20.00,20.10,19.82,20.040001,1000,20.040001
2015-06-12,20.25,20.32,20.25,20.32,4800,20.32
2015-06-11,20.16,20.209999,20.00,20.15,23500,20.15
2015-06-10,20.110001,20.110001,19.809999,20.059999,53700,20.059999
2015-06-09,20.049999,20.049999,19.82,20.00,8500,20.00
2015-06-08,19.68,20.15,19.68,20.10,9900,20.10
2015-06-05,19.75,20.15,19.75,20.10,4000,20.10
2015-06-04,20.60,20.60,20.18,20.18,159200,20.18
2015-06-03,20.32,20.700001,20.32,20.700001,4900,20.700001
2015-06-02,20.190001,20.190001,20.190001,20.190001,5000,20.190001
2015-06-01,20.049999,20.450001,20.040001,20.450001,2500,20.450001
2015-05-29,20.48,20.48,20.00,20.00,7000,20.00
2015-05-28,20.07,20.450001,19.940001,19.959999,4100,19.959999
2015-05-27,20.75,20.75,20.17,20.17,2800,20.17
2015-05-26,20.33,20.700001,20.33,20.370001,1000,20.370001
2015-05-22,20.74,20.75,20.50,20.75,28800,20.75
2015-05-21,20.610001,20.610001,20.200001,20.50,4700,20.50
2015-05-20,20.129999,20.799999,20.129999,20.60,8300,20.60
2015-05-19,21.01,21.01,20.809999,20.889999,4700,20.889999
2015-05-18,21.129999,21.129999,20.82,20.90,10000,20.90
2015-05-15,21.280001,21.280001,21.030001,21.16,37500,21.16
2015-05-14,21.030001,21.030001,20.91,21.00,15500,20.954
2015-05-13,20.50,21.049999,20.50,20.93,58800,20.884154
2015-05-12,20.200001,20.200001,20.10,20.200001,15000,20.155753
2015-05-11,20.299999,20.85,20.26,20.299999,4600,20.255533
2015-05-08,19.950001,20.24,19.950001,20.24,5400,20.195665
2015-05-07,20.01,20.01,19.52,19.690001,2000,19.64687
2015-05-06,20.51,20.51,19.84,19.84,3500,19.796541
2015-05-05,20.620001,20.620001,20.01,20.139999,12900,20.095883
2015-05-04,20.84,20.84,20.219999,20.59,6000,20.544898
2015-05-01,20.65,20.950001,20.50,20.50,6100,20.455095
2015-04-30,21.219999,21.219999,20.50,20.700001,6300,20.654658
2015-04-29,21.25,21.26,21.00,21.23,9300,21.183496
2015-04-28,21.00,21.24,21.00,21.15,9000,21.103671
2015-04-27,21.08,21.379999,21.00,21.10,8300,21.053781
2015-04-24,20.99,21.48,20.90,21.09,3000,21.043803
2015-04-23,20.459999,21.02,20.42,20.950001,9700,20.90411
2015-04-22,21.00,21.08,20.66,21.08,23700,21.033825
2015-04-21,20.26,20.450001,20.26,20.450001,16800,20.405206
2015-04-20,19.90,19.90,19.73,19.870001,11900,19.826476
2015-04-17,20.08,20.08,19.469999,20.00,16100,19.956191
2015-04-16,21.059999,21.059999,20.40,20.950001,60600,20.90411
2015-04-15,20.75,20.809999,20.18,20.23,41500,20.185686
2015-04-14,20.290001,21.41,20.200001,20.90,13800,20.854219
2015-04-13,21.65,22.299999,21.639999,21.799999,18300,21.752247
2015-04-10,21.280001,21.280001,20.75,20.90,22400,20.854219
2015-04-09,21.00,21.48,20.68,21.459999,28900,21.412992
2015-04-08,20.120001,20.57,19.780001,20.120001,2600,20.075929
2015-04-07,19.50,19.50,19.50,19.50,900,19.457286
2015-04-06,19.49,19.700001,19.299999,19.549999,12400,19.507176
2015-04-02,19.25,19.450001,19.25,19.440001,10200,19.397418
2015-04-01,19.00,19.15,18.969999,19.15,12200,19.108052
2015-03-31,18.93,19.00,18.93,18.959999,6800,18.918468
2015-03-30,18.610001,18.790001,18.610001,18.790001,500,18.748842
2015-03-27,18.68,18.73,18.65,18.65,35600,18.609147
2015-03-26,18.25,18.25,18.00,18.059999,12800,18.02044
2015-03-25,18.50,18.50,18.25,18.25,1600,18.210024
2015-03-24,18.43,18.549999,18.43,18.50,4200,18.459476
2015-03-23,19.120001,19.120001,18.32,18.940001,12200,18.898513
2015-03-20,18.530001,18.92,18.530001,18.60,20700,18.559258
2015-03-19,18.299999,18.75,18.299999,18.58,15500,18.539301
2015-03-18,17.59,17.60,17.48,17.48,4800,17.44171
2015-03-17,17.559999,17.639999,17.209999,17.60,19000,17.561448
2015-03-16,17.50,17.58,17.50,17.549999,4900,17.511556
2015-03-13,17.049999,17.18,17.049999,17.129999,13900,17.092476
2015-03-12,17.00,17.00,17.00,17.00,300,16.962762
2015-03-11,16.969999,16.969999,16.969999,16.969999,500,16.932827
2015-03-10,16.92,16.92,16.83,16.83,3200,16.793134
2015-03-09,16.90,17.219999,16.90,17.10,1600,17.062543
2015-03-06,17.040001,17.040001,16.690001,16.809999,13100,16.773178
2015-03-05,17.15,17.15,17.01,17.040001,6400,17.002675
2015-03-04,17.110001,17.23,17.110001,17.23,10500,17.192258
2015-03-03,17.18,17.40,17.18,17.389999,3400,17.351907
2015-03-02,17.360001,17.68,17.360001,17.530001,32500,17.491602
