Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,150.949997,154.770004,150.679993,154.649994,6490400,154.649994
2016-02-29,149.75,150.289993,148.320007,149.529999,5506400,149.529999
2016-02-26,149.720001,151.970001,149.009995,150.25,5924500,149.600003
2016-02-25,146.00,149.070007,145.229996,148.25,4299600,147.608655
2016-02-24,143.080002,145.639999,140.259995,145.559998,5714700,144.93029
2016-02-23,148.00,148.050003,144.050003,144.910004,4249600,144.283108
2016-02-22,149.199997,149.990005,148.229996,148.789993,4287900,148.146312
2016-02-19,147.00,147.729996,145.429993,146.910004,5257300,146.274456
2016-02-18,151.25,152.00,147.369995,147.729996,5895500,147.0909
2016-02-17,150.800003,151.869995,150.309998,150.940002,5578800,150.28702
2016-02-16,149.600006,150.479996,147.449997,149.020004,10198000,148.375328
2016-02-12,143.75,146.509995,143.699997,146.130005,9009300,145.497831
2016-02-11,143.410004,144.410004,139.050003,140.690002,10252200,140.081363
2016-02-10,150.00,153.380005,147.210007,147.229996,7609600,146.593063
2016-02-09,145.520004,149.949997,145.100006,148.25,6919400,147.608655
2016-02-08,153.830002,153.830002,145.25,149.25,8680000,148.604329
2016-02-05,157.570007,159.699997,155.690002,156.470001,4596100,155.793096
2016-02-04,152.300003,157.949997,152.009995,156.490005,4573100,155.813013
2016-02-03,152.50,153.839996,147.009995,152.679993,5893200,152.019483
2016-02-02,157.00,157.00,150.160004,151.699997,6316200,151.043727
2016-02-01,160.410004,161.00,158.449997,159.649994,2963500,158.959331
2016-01-29,158.639999,161.589996,157.779999,161.559998,4887900,160.861072
2016-01-28,155.009995,158.050003,152.529999,157.059998,4292900,156.380539
2016-01-27,153.589996,158.429993,153.190002,153.720001,5153100,153.054992
2016-01-26,151.119995,156.100006,151.119995,154.449997,5237700,153.78183
2016-01-25,156.399994,156.529999,151.119995,151.119995,5051700,150.466234
2016-01-22,154.580002,156.990005,153.860001,156.860001,5583800,156.181408
2016-01-21,153.970001,155.160004,151.490005,151.649994,5738800,150.99394
2016-01-20,154.100006,158.369995,151.649994,153.75,9369100,153.084861
2016-01-19,157.559998,158.759995,155.279999,156.820007,5860600,156.141587
2016-01-15,156.699997,157.990005,153.809998,155.610001,6237200,154.936815
2016-01-14,160.300003,162.509995,156.759995,161.389999,4272500,160.691809
2016-01-13,166.460007,167.100006,157.919998,158.990005,5252500,158.302198
2016-01-12,166.889999,168.179993,163.300003,165.710007,4441300,164.993128
2016-01-11,165.00,166.460007,163.339996,165.729996,4386500,165.01303
2016-01-08,166.75,168.419998,163.630005,163.940002,4929800,163.230781
2016-01-07,166.669998,169.50,163.600006,164.619995,5687900,163.907832
2016-01-06,171.309998,172.020004,169.100006,169.839996,5539400,169.105251
2016-01-05,176.710007,177.50,172.919998,174.089996,4521600,173.336865
2016-01-04,175.789993,177.190002,173.759995,177.139999,3745500,176.373673
2015-12-31,181.160004,182.889999,180.029999,180.229996,1773900,179.450302
2015-12-30,183.279999,183.529999,181.839996,182.009995,1514300,181.2226
2015-12-29,182.820007,184.179993,182.50,183.529999,1848900,182.736029
2015-12-28,181.770004,181.929993,179.839996,181.619995,1723300,180.834288
2015-12-24,182.270004,183.169998,182.020004,182.470001,1107600,181.680617
2015-12-23,180.699997,183.00,180.460007,182.949997,2367900,182.158536
2015-12-22,178.899994,180.690002,177.050003,180.050003,2312800,179.271088
2015-12-21,177.50,178.149994,175.830002,177.75,2472900,176.981035
2015-12-18,181.199997,181.899994,175.389999,175.490005,6740800,174.730817
2015-12-17,186.880005,187.889999,182.610001,182.610001,2807900,181.820011
2015-12-16,184.009995,186.880005,181.679993,186.210007,3191700,185.404443
2015-12-15,178.979996,183.279999,178.850006,182.009995,3393100,181.2226
2015-12-14,176.669998,178.630005,172.899994,176.399994,5102400,175.636869
2015-12-11,179.679993,180.149994,175.470001,176.559998,3750100,175.79618
2015-12-10,180.990005,183.929993,180.309998,182.110001,2212300,181.322174
2015-12-09,182.020004,184.850006,179.830002,180.710007,3907500,179.928236
2015-12-08,183.919998,184.470001,181.839996,182.919998,2663800,182.128667
2015-12-07,190.00,190.119995,185.00,185.490005,3499900,184.687556
2015-12-04,185.610001,190.619995,184.75,189.990005,3517200,189.168089
2015-12-03,190.660004,191.649994,184.729996,185.199997,3599000,184.398802
2015-12-02,193.300003,193.839996,189.800003,190.259995,1817200,189.43691
2015-12-01,191.220001,193.149994,190.009995,193.070007,4140900,192.234766
2015-11-30,190.50,191.080002,189.240005,190.020004,3415000,189.197958
2015-11-27,189.160004,191.190002,188.850006,190.470001,1092700,188.998813
2015-11-25,188.990005,189.770004,188.149994,189.149994,1495600,187.689002
2015-11-24,188.020004,189.800003,186.559998,188.669998,2679400,187.212714
2015-11-23,191.300003,191.490005,188.520004,189.190002,2671700,187.728701
2015-11-20,193.00,193.490005,191.110001,191.470001,2932100,189.991089
2015-11-19,193.820007,194.210007,191.669998,193.029999,1835800,191.539038
2015-11-18,191.050003,194.050003,191.009995,193.660004,2509200,192.164176
2015-11-17,192.669998,193.00,190.320007,190.570007,1783800,189.098047
2015-11-16,189.990005,192.160004,188.009995,192.160004,4626600,190.675762
2015-11-13,192.630005,193.380005,190.059998,190.389999,2484000,188.919429
2015-11-12,196.190002,196.190002,192.259995,192.770004,3166900,191.281051
2015-11-11,198.289993,198.929993,196.729996,197.389999,1637500,195.865362
2015-11-10,196.580002,198.220001,195.279999,197.809998,2149900,196.282116
2015-11-09,199.039993,199.899994,196.320007,196.759995,2604400,195.240223
2015-11-06,196.00,199.470001,195.899994,199.169998,4270800,197.631612
2015-11-05,192.539993,193.279999,191.00,192.020004,2186300,190.536844
2015-11-04,191.00,192.889999,190.309998,191.649994,2174300,190.169692
2015-11-03,189.25,191.869995,189.050003,190.690002,2443200,189.217115
2015-11-02,188.320007,190.429993,187.679993,189.679993,2531500,188.214907
2015-10-30,189.759995,190.089996,187.240005,187.50,2791600,186.051752
2015-10-29,191.00,191.960007,189.330002,189.889999,3068100,188.423291
2015-10-28,186.710007,191.479996,186.169998,191.320007,3231900,189.842254
2015-10-27,186.00,186.830002,184.50,186.309998,1932300,184.870942
2015-10-26,187.100006,188.00,186.619995,187.009995,2573700,185.565532
2015-10-23,185.160004,186.360001,184.429993,185.50,2935700,184.0672
2015-10-22,180.229996,184.190002,180.199997,183.559998,2609600,182.142183
2015-10-21,186.220001,186.220001,179.550003,179.699997,3613800,178.311996
2015-10-20,185.199997,185.970001,183.899994,185.509995,2736200,184.077118
2015-10-19,183.479996,186.50,183.149994,185.740005,2665700,184.305352
2015-10-16,185.119995,186.649994,183.630005,185.179993,2948900,183.749665
2015-10-15,176.729996,185.75,175.759995,184.960007,5720100,183.531378
2015-10-14,180.729996,182.220001,179.139999,179.509995,3252000,178.123462
2015-10-13,179.570007,183.139999,179.50,180.970001,2918800,179.572191
2015-10-12,180.800003,181.199997,179.009995,180.229996,3059800,178.837902
2015-10-09,180.960007,182.289993,178.210007,179.190002,3334900,177.805941
2015-10-08,181.179993,182.470001,179.75,181.070007,3253400,179.671425
2015-10-07,181.800003,183.789993,180.539993,182.229996,2572200,180.822454
2015-10-06,180.199997,181.279999,179.470001,180.320007,1859100,178.927218
2015-10-05,178.229996,181.059998,177.830002,180.699997,3411900,179.304273
2015-10-02,172.139999,177.100006,169.869995,177.009995,4469900,175.642772
2015-10-01,174.399994,176.169998,173.039993,176.020004,3613000,174.660428
2015-09-30,174.580002,175.080002,172.160004,173.759995,2931500,172.417875
2015-09-29,173.009995,173.300003,167.490005,171.860001,4419100,170.532556
2015-09-28,178.460007,178.460007,172.75,173.020004,3898500,171.6836
2015-09-25,179.199997,181.110001,178.160004,179.830002,3026500,178.440997
2015-09-24,177.660004,177.979996,174.820007,176.910004,3910000,175.543553
2015-09-23,179.809998,180.190002,177.75,179.410004,2732600,178.024243
2015-09-22,180.889999,181.00,178.009995,179.720001,4166900,178.331846
2015-09-21,183.300003,184.410004,181.699997,183.350006,2947200,181.933813
2015-09-18,183.199997,183.380005,180.550003,180.940002,6529900,179.542424
2015-09-17,188.449997,190.570007,186.00,186.449997,3712600,185.00986
2015-09-16,187.960007,189.300003,186.589996,188.639999,2717800,187.182946
2015-09-15,184.779999,188.020004,184.190002,187.449997,3092800,186.002136
2015-09-14,185.600006,185.860001,183.300003,183.940002,2746000,182.519252
2015-09-11,185.429993,185.820007,183.320007,185.270004,2536800,183.838981
2015-09-10,185.449997,187.820007,184.770004,185.910004,3042600,184.474037
2015-09-09,189.550003,191.75,185.259995,185.679993,4756800,184.245803
2015-09-08,183.910004,186.309998,183.649994,185.880005,3060100,184.44427
2015-09-04,182.259995,182.830002,179.130005,180.380005,4295600,178.986752
2015-09-03,185.00,187.889999,184.279999,185.059998,2902200,183.630597
2015-09-02,184.869995,185.820007,182.509995,184.509995,3043800,183.084842
2015-09-01,184.240005,186.470001,181.080002,182.119995,5494500,180.713303
2015-08-31,187.690002,190.25,187.179993,188.600006,2858000,187.143262
2015-08-28,187.589996,188.850006,186.259995,187.75,2413100,186.299821
2015-08-27,186.809998,189.860001,185.429993,189.210007,3798500,187.103574
2015-08-26,183.039993,185.059998,179.110001,184.399994,5561800,182.34711
2015-08-25,185.889999,187.330002,177.710007,178.220001,7204800,176.235918
2015-08-24,178.460007,186.889999,172.100006,179.460007,7183600,177.462119
2015-08-21,193.660004,194.600006,187.580002,187.740005,5406200,185.649938
2015-08-20,198.429993,199.220001,196.75,196.75,3140000,194.559626
2015-08-19,200.020004,202.75,199.139999,200.949997,2721400,198.712865
2015-08-18,202.119995,203.100006,201.179993,201.179993,1665400,198.940301
2015-08-17,201.009995,202.860001,199.779999,202.570007,1600700,200.314841
2015-08-14,200.830002,202.550003,200.740005,202.020004,3567100,199.770961
2015-08-13,200.720001,201.949997,199.580002,200.740005,3353600,198.505212
2015-08-12,199.899994,201.550003,196.580002,201.130005,2771900,198.890869
2015-08-11,203.50,203.919998,200.660004,201.699997,2554000,199.454516
2015-08-10,204.589996,206.570007,204.339996,205.970001,1640300,203.676983
2015-08-07,205.300003,206.639999,202.320007,203.440002,1691100,201.17515
2015-08-06,206.00,206.699997,204.300003,205.089996,1485800,202.806775
2015-08-05,206.940002,207.779999,204.929993,205.699997,1535500,203.409985
2015-08-04,205.009995,207.149994,204.800003,205.169998,1451500,202.885886
2015-08-03,205.75,205.949997,202.839996,204.690002,2075500,202.411234
2015-07-31,207.399994,207.470001,204.899994,205.070007,1644000,202.787009
2015-07-30,206.029999,207.350006,205.100006,207.199997,1342900,204.893286
2015-07-29,206.570007,208.130005,205.669998,206.839996,1987300,204.537293
2015-07-28,207.139999,207.179993,204.600006,206.240005,2018100,203.943982
2015-07-27,205.449997,205.839996,203.50,205.020004,2910500,202.737562
2015-07-24,211.449997,211.449997,206.899994,207.350006,2453900,205.041625
2015-07-23,213.660004,214.610001,210.699997,211.050003,2192700,208.70043
2015-07-22,211.800003,213.720001,211.75,213.25,2301300,210.875935
2015-07-21,211.979996,212.800003,210.75,211.50,1985300,209.145418
